id,created_at,updated_at,role_name
1,"2023-02-01 17:22:33.000000","2023-02-01 17:22:33.000000",ROLE_ADMIN
2,"2023-02-01 17:22:54.000000","2023-02-01 17:22:54.000000",ROLE_USER
